channel_id	name	weight
UC_x5XG1OV2P6uZZ5FSM9Ttw	Google Developers	20
UCP4bf6IHJJQehibu6ai__cg	Firebase	3
UCVHFbqXqoYvEWM1Ddxl0QDg	Android Developers	6
UCnUYZLuoy1rq1aVMwx4aTzw	Google Chrome Developers	6
UClKO7be7O9cUGL94PHnAeOA	Google Design	3
UCdIiCSqXuybzwGwJwrpHPqw	Women Techmakers	3
UCJS9pqu9BzkAMNTmzNMNhvg	Google Cloud Platform	4
UCorTyjVGM-PV5CCKbosONow	Google Developers Launchpad	1
UCeo-MamuQVFRcfQmS2N7fhw	Google Developers LATAM	1
UCQqa5UIHtrnpiADC3eHFupw	Google Developers for Chinese language	1
UCXPBsjgKKG2HqsKBhWA4uQw	The AMP Channel	2
UCK8sQmJBp8GCxrOtXWBpyEA	Google	25
UCtXKDgv1AVoG88PLl8nGXmw	GoogleTechTalks	1
UCbmNph6atAoGfqLoCL_duAg	Talks at Google	4
UCFJcu7Lj_qmYuPhMAerryUA	Google.org	4
UCBmwzQnSoj9b6HzNmFrg_yw	G Suite	6
UCTMRxtyHoE3LPcrl-kT4AQQ	Google Cloud	1
UCL8ZULXASCc1I_oaOT0NaOQ	Google Chrome	9
UC9M7-jzdU8CVrQo1JwmIdWA	Android	3
UCBR8-60-B28hp2BmDPdntcQ	YouTube	13
UCUjlPym2cxucUVPdE8kYOOg	Google Nexus	1
UCrRK02_CbvPEPrDYMQ1l49w	Google Play	5
UCt84aUC9OG6di8kSdKzEHTQ	Google for Education	6
UCWmlRLAOpx9f1t_cVkBx8-g	Google Nest	2
UC3x6qC4h-NyuvQBSZYaPKrQ	Google Help	1
UCf4AIjSwE-E2TggCPdm-z-A	Nat and Friends	2
UCGn7dlcAmH44GqycKa_3ssA	Google Arts & Culture	3
UCpd0xtuhhWwUug1bk84usiA	Grow with Google	1
UCEmCXnbNYz-MOtXi3lZ7W1Q	The Key of Awesome	14
UCxqyBoACUss6OxFdmFvxcXQ	Google Glass	1
UCSmyV6P8_ir9EV4Z4tYA2QA	Google for Nonprofits	2
UC0_ALFRaovsmae1Y8bILisQ	Google Cultural Institute	2
UCWIzrKzN4KY6BPU8hsk880Q	Life at Google	2
UCMDQxm7cUx3yXkfeHa5zJIQ	TeamYouTube [Help]	9
UCUZHFZ9jIKrLroW8LcyJEQQ	[Inactive Creators Channel]	4
UCkRfArvrzheW2E7b6SVT7vQ	YouTube Creators	10
UCeNZlh03MyUkjRlLFpVQxsg	YouTube Trends	5
UCEN58iXQg82TXgsDCjWqIkg	YouTube Advertisers	5
UCtVd0c0tGXuTSbU5d8cSBUg	YouTube for Developers	2
UCfFyYRYslvuhwMDnx6KjUvw	YouTube Social Impact	4
UCyF-6wI0EoKAe7nZqlIOrOA	X, the moonshot factory	1
UCAn-f5AvAospCM1Jzgn9QHw	Google Science Fair	3
UCx2UPs9ulKLkJ9-7Dw8LiIg	Chromebooks	1
UCtyYTpFBzWdoSFx2Gl2VNbQ	Google Students	2
UCIG1k8umaCIIrujZPzZPIMA	Made by Google	1
UC70QckdMkEtr9QHDhRn8-kw	Google ATAP	2
UCCLyNDhxwpqNe3UeEmGHl8g	Google self-driving car project	2
UC7LeBTDzQhjcsEG9VjueUTg	MarkDouglas	3
UC6nSFpj9HTCZ5t-N3Rm3-HA	Vsauce	61
UCwmFOfFuvRPI112vR5DNnrA	Vsauce3	18
UCqmugCqELzhIMNYnsjScXXw	Vsauce2	16
UCBMxQPhfM6nkhQ8vPfQhkCg	ThreadBanger	11
UCRPktNf5vnBR1J4e7t1RUVg	Field Day	1
UCGnX8ABNZYuZrhzT-sJVaeg	Earth Outreach	2
UCgl9rHdm9KojNRWs56QI_hg	Google Ads	3
UC6ZEIvlahVCA8k5tYTr_a2A	Salesforce.org	6
UCGg-UqjRgzhYDPJMr-9HXCg	Creator Insider	6
UCqVDpXKLmKeBU_yyt_QkItQ	YouTube Originals	2
UCwzySbzUWiKqG84jOnbeB1w	YouTube For Business	1
UCh5Yo6HN5b2Hco70HosIzZA	Waymo	2
UCP-Ng5SXUEt0VE-TXqRdL6g	LEGO	14
UCpVm7bg6pXKo1Pr6k5kxG9A	National Geographic	42
UC_xYMXx_-mAzheKyEtwtCAQ	Scientific American	8
UCrHXK2A9JtiexqwHuWGeSMg	CERN	1
UC08FMoIyKIiXzzw26J_6fdw	TJCMN	3
UCJadKNYMahhqtdAhDZSy4cg	Google Spotlight Stories	1
UCivtfTLPQ52Gmr4vdwVoZXQ	barelydigital	3
UCboO-orWDjoSrZ2yqJRQpBQ	How 2 Travelers	3
UClq42foiSgl7sSpLupnugGA	D!NG	5
UCoxcjq-8xIDTYp3uz647V5A	Numberphile	34
UC6107grRI4m0o2-emgoDnAA	SmarterEveryDay	37
UCUHW94eEFW7hkUMVaZz4eDg	minutephysics	33
UC2C_jShtL725hvbm1arSV9w	CGP Grey	31
UCvBqzzvUBLCs8Y7Axb-jZew	Sixty Symbols	23
UCHnyfMqiRRG1u-2MsSQLbXA	Veritasium	40
UCOGeU-1Fig3rrDjhm9Zs_wg	Vihart	15
UCeQEKFH31vvD-InkTGSvCrA	brusspup	12
UCk6cjmZB_r3AVPMyAeJYBng	Jake Roper	3
UCtinbF-Q-fVthA0qrFQTgXQ	CaseyNeistat	39
UCC552Sd-3nyi_tk2BudLUzA	AsapSCIENCE	19
UCjwmbv6NE4mOh8Z8VhPUx1Q	Rosanna Pansino	16
UC4Abl9Z_dKFxA7fRFnGPLiA	The Create Unknown	3
UC1UIj7Y9SphX5GuoG2e94XQ	Jake Chudnow	2
UCohfGoL208cZbSSlXgMNUiA	BlameSociety	10
UCyi06SeKkiwoAzFVmQtDtfg	Aspect Science	2
UCJfrQ757VURxgJTO2Z2MLrQ	Rob Czar	2
UCS4mCuv_CP6xgMgGjLKLvoA	Corinne Leigh	2
UCo_IB5145EVNcf8hw1Kku7w	The Game Theorists	27
UCbaGn5VkOVlcRgIWAHcrJKA	Cut	7
UCX0Li3JxkKVPIHAamYe-YmQ	Mike Relm	3
UC2hAbftpVjHtFrDOpEM90aA	Action Movie Kids	6
UCTrtA2LyW7gie0o8hY4efXw	Improv Everywhere	9
